Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL LOST,THEFT,1,33556,1342.24,33556,1342.24,Player20,,0.35,0.63,,
Away,PASS,,1,33612,1344.48,33665,1346.6,Player17,Player18,0.28,0.53,0.33,0.21
Away,PASS,,1,33725,1349.0,33750,1350.0,Player18,Player20,0.42,0.17,0.39,0.29
Away,BALL OUT,,1,33803,1352.12,33908,1356.32,Player20,,0.45,0.31,1.01,0.21
Away,PASS,,1,34917,1396.68,35008,1400.32,Player25,Player18,0.12,0.71,0.42,0.2
Away,PASS,,1,35120,1404.8,35185,1407.4,Player18,Player20,0.49,0.12,0.4,0.32
Away,PASS,,1,35262,1410.48,35292,1411.68,Player20,Player21,0.37,0.31,0.42,0.45
Away,PASS,,1,35355,1414.2,35397,1415.88,Player21,Player18,0.43,0.27,0.58,0.02
Away,PASS,,1,35434,1417.36,35459,1418.36,Player18,Player21,0.58,0.05,0.49,0.14
Away,PASS,,1,35596,1423.84,35628,1425.12,Player21,Player18,0.53,0.33,0.65,0.08
Away,PASS,,1,35654,1426.16,35674,1426.96,Player18,Player22,0.68,0.08,0.72,0.03
Away,PASS,,1,35743,1429.72,35821,1432.84,Player22,Player19,0.67,0.2,0.87,0.91
Away,PASS,,1,35899,1435.96,35917,1436.68,Player19,Player15,0.89,0.95,0.78,0.94
Away,PASS,,1,35924,1436.96,35951,1438.04,Player15,Player20,0.78,0.93,0.78,0.76
Away,PASS,,1,35951,1438.04,35983,1439.32,Player20,Player15,0.78,0.76,0.85,0.92
Away,BALL LOST,CROSS-INTERCEPTION,1,35983,1439.32,36025,1441.0,Player15,,0.85,0.92,0.96,0.41
Away,PASS,,1,36216,1448.64,36302,1452.08,Player24,Player18,0.95,-0.03,0.71,0.11
Away,PASS,,1,36344,1453.76,36369,1454.76,Player18,Player22,0.72,0.13,0.82,0.02
Away,BALL LOST,INTERCEPTION,1,36398,1455.92,36428,1457.12,Player22,,0.82,0.01,0.85,0.22
Away,PASS,,1,37376,1495.04,37415,1496.6,Player18,Player25,0.2,0.25,0.06,0.46
Away,BALL OUT,,1,37458,1498.32,37618,1504.72,Player25,,0.08,0.56,0.8,1.0
Away,PASS,HEAD,1,38374,1534.96,38394,1535.76,Player16,Player21,0.52,0.9,0.57,0.89
Away,PASS,,1,38451,1538.04,38514,1540.56,Player21,Player20,0.53,0.91,0.45,0.65
Away,PASS,,1,38514,1540.56,38576,1543.04,Player20,Player17,0.45,0.65,0.42,0.33
Away,BALL OUT,,1,38609,1544.36,38732,1549.28,Player17,,0.45,0.21,0.77,-0.02
Away,PASS,,1,39653,1586.12,39703,1588.12,Player20,Player17,0.57,0.15,0.49,0.27
Away,PASS,,1,39720,1588.8,39742,1589.68,Player17,Player21,0.49,0.29,0.56,0.43
Away,PASS,,1,39742,1589.68,39777,1591.08,Player21,Player17,0.56,0.43,0.46,0.35
Away,PASS,,1,39803,1592.12,39828,1593.12,Player17,Player20,0.45,0.36,0.5,0.18
Away,PASS,,1,39916,1596.64,39942,1597.68,Player20,Player18,0.59,0.18,0.7,0.03
Away,BALL LOST,INTERCEPTION,1,39942,1597.68,39952,1598.08,Player18,,0.7,0.03,0.66,0.05
Away,PASS,,1,40082,1603.28,40100,1604.0,Player18,Player20,0.73,-0.03,0.64,0.04
Away,PASS,,1,40154,1606.16,40171,1606.84,Player20,Player22,0.64,0.1,0.67,0.3
Away,BALL LOST,THEFT,1,40235,1609.4,40235,1609.4,Player22,,0.69,0.25,,
Away,PASS,,1,41848,1673.92,41896,1675.84,Player16,Player17,0.27,0.77,0.17,0.4
Away,PASS,,1,41936,1677.44,41966,1678.64,Player17,Player18,0.18,0.32,0.27,0.1
Away,PASS,,1,41994,1679.76,42019,1680.76,Player18,Player20,0.27,0.1,0.32,0.3
Away,PASS,,1,42130,1685.2,42148,1685.92,Player20,Player18,0.3,0.25,0.27,0.1
Away,PASS,,1,42219,1688.76,42237,1689.48,Player18,Player20,0.37,0.03,0.33,0.16
Away,PASS,,1,42509,1700.36,42547,1701.88,Player20,Player21,0.36,0.17,0.42,0.37
Away,PASS,,1,42550,1702.0,42593,1703.72,Player21,Player17,0.42,0.37,0.28,0.38
Away,PASS,,1,42633,1705.32,42668,1706.72,Player17,Player16,0.29,0.43,0.34,0.72
Away,PASS,,1,42700,1708.0,42735,1709.4,Player16,Player15,0.34,0.73,0.39,0.95
Away,PASS,,1,42753,1710.12,42776,1711.04,Player15,Player19,0.38,0.96,0.47,0.85
Away,PASS,,1,43155,1726.2,43202,1728.08,Player16,Player21,0.49,0.88,0.47,0.69
Away,PASS,,1,43233,1729.32,43286,1731.44,Player21,Player17,0.45,0.65,0.45,0.33
Away,PASS,,1,43336,1733.44,43363,1734.52,Player17,Player18,0.49,0.27,0.64,0.03
Away,PASS,,1,43401,1736.04,43468,1738.72,Player18,Player22,0.66,0.05,0.96,0.12
