Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,PASS,,1,47698,1907.92,47731,1909.24,Player8,Player4,0.35,0.94,0.42,0.82
Home,PASS,,1,47762,1910.48,47787,1911.48,Player4,Player7,0.41,0.84,0.25,0.84
Home,PASS,,1,47851,1914.04,47868,1914.72,Player7,Player8,0.18,0.93,0.24,0.99
Home,BALL LOST,,1,47892,1915.68,47942,1917.68,Player8,,0.22,0.97,0.11,0.72
Home,PASS,HEAD,1,48055,1922.2,48110,1924.4,Player3,Player4,0.6,0.8,0.57,0.85
Home,BALL LOST,THEFT,1,48110,1924.4,48110,1924.4,Player4,,0.57,0.85,,
Home,PASS,HEAD,1,49065,1962.6,49105,1964.2,Player3,Player6,0.77,0.74,0.7,0.65
Home,BALL LOST,HEAD,1,49105,1964.2,49156,1966.24,Player6,,0.7,0.65,0.71,0.77
Home,BALL OUT,CLEARANCE,1,49682,1987.28,49796,1991.84,Player4,,0.94,0.53,0.92,-0.02
Home,PASS,,1,50302,2012.08,50320,2012.8,Player3,Player7,0.81,0.81,0.76,0.83
Home,PASS,,1,50320,2012.8,50334,2013.36,Player7,Player4,0.76,0.83,0.82,0.88
Home,PASS,,1,50334,2013.36,50381,2015.24,Player4,Player6,0.82,0.88,0.75,0.67
Home,BALL LOST,THEFT,1,50395,2015.8,50395,2015.8,Player6,,0.75,0.65,,
Home,BALL LOST,INTERCEPTION,1,50513,2020.52,50532,2021.28,Player6,,0.61,0.42,0.56,0.53
Home,PASS,,1,50765,2030.6,50780,2031.2,Player1,Player5,0.84,0.22,0.78,0.34
Home,PASS,,1,50798,2031.92,50823,2032.92,Player5,Player9,0.77,0.34,0.69,0.48
Home,PASS,,1,50848,2033.92,50889,2035.56,Player9,Player4,0.7,0.46,0.72,0.67
Home,PASS,,1,50916,2036.64,50951,2038.04,Player4,Player8,0.7,0.73,0.56,0.97
Home,PASS,,1,51014,2040.56,51046,2041.84,Player8,Player9,0.52,0.94,0.56,0.78
Home,PASS,,1,51078,2043.12,51108,2044.32,Player9,Player7,0.53,0.76,0.54,0.58
Home,PASS,,1,51142,2045.68,51155,2046.2,Player7,Player5,0.52,0.52,0.54,0.49
Home,PASS,,1,51155,2046.2,51172,2046.88,Player5,Player7,0.54,0.49,0.51,0.48
Home,PASS,,1,51172,2046.88,51185,2047.4,Player7,Player5,0.51,0.48,0.53,0.48
Home,PASS,,1,51185,2047.4,51196,2047.84,Player5,Player7,0.53,0.48,0.5,0.47
Home,PASS,,1,51196,2047.84,51211,2048.44,Player7,Player5,0.5,0.47,0.52,0.46
Home,PASS,,1,51211,2048.44,51223,2048.92,Player5,Player7,0.52,0.46,0.49,0.47
Home,PASS,,1,51223,2048.92,51232,2049.28,Player7,Player5,0.49,0.47,0.51,0.45
